board,category,title
Boy-Girl,討論,有因為伴侶而養成什麼習慣？
Boy-Girl,新聞,嘉義台南公務員未婚聯誼 鹽場闖關有緣擦
Boy-Girl,討論,有求偶焦慮的都是處男吧
Boy-Girl,求助,約會幾次後對方說不適合但可當朋友
Boy-Girl,閒聊,台男在世界各地臭台灣女生？
Boy-Girl,討論,有被迫跟討厭的異性相處的經驗嗎?
Boy-Girl,討論,現在男女的愛情是博奕嗎??
Boy-Girl,新聞,愛情來了！屏東單身聯誼男生只要20人 報
Boy-Girl,討論,台北市有房男會+分嗎
Boy-Girl,求助,我跟男友求婚被拒
Boy-Girl,討論,如何順利從認識到銅婚啊?
Boy-Girl,分享,愛的貓語72｜相思病
Boy-Girl,心情,才發現那愛笑的眼睛流過淚
Boy-Girl,分享,分手才發現女友是迴避型
Boy-Girl,討論,母胎單身的原因
Boy-Girl,新聞,2025北市大安區單身聯誼活動 情歌悠揚花
Boy-Girl,求助,朋友這樣算是被綠嗎
Boy-Girl,求助,有點複雜的朋友關係
Boy-Girl,板務,是否執行2025年首次大執法?
Boy-Girl,討論,現在還有一定要生兒子的傳統思想嗎
Boy-Girl,討論,沒送女友想要的手機就不爽該怎辦？
Boy-Girl,閒聊,越南妻子離婚議題-實例探討
Boy-Girl,求助,去夜店跟酒吧找對象合適嗎？
Boy-Girl,閒聊,教把妹的youtuber會不會很慘
Boy-Girl,閒聊,說實在男生沒交女朋友也可以過很好吧
Boy-Girl,討論,媽媽聽到這種話  會有多心酸啊...
Boy-Girl,討論,為什麼現在男生不願意花很多時間追女生？
Boy-Girl,討論,為什麼現在男生不願意花很多時間追女
Boy-Girl,分享,愛情的蛋黃酥模型
Boy-Girl,討論,想問大家聽過哪些假掰的話
Boy-Girl,討論,年輕正妹未來只會越來越值錢？
Military,情報,烏克蘭-俄羅斯大規模空襲對攻
Military,情報,庫斯克行動：烏軍持續在別爾哥羅德行動
Military,情報,烏俄戰爭-isw 能源打擊停火尚未生效
Military,情報,烏俄戰爭-戰線情報（20250320）
Military,情報,烏俄戰爭-談判情報（20250320）
Military,情報,紹伊古點出烏克蘭憲法是和平的阻礙
Military,情報,美特使表示雖然烏被攻擊但相信普丁真誠
Military,情報,俄輿論慶祝普丁的談判勝利
Military,新聞,俄軍機飛入韓領空 韓政府召駐韓軍官抗議
Military,分享,馬斯克將聽取美國對中戰爭機密簡報
Military,分享,國軍待遇加給調整方案 四月一日實施
Military,情報,庫斯克蘇賈天然氣計量站發生爆炸
Military,情報,烏軍官方殲敵統計&情報數則 (25/3/20)
Military,新聞,烏克蘭準備改革募兵 以吸引18~25歲年輕
Military,分享,美軍用m2 bradley測試一種特殊飛彈
Military,新聞,馬文君追潛艦國造進度 顧立雄認了「預算
Military,新聞,美國防部否認f-35有「緊急開關」
Military,情報,丹麥國會議員回應f-35開關疑慮
Military,分享,數據分析俄羅斯在烏克蘭的作戰效能
Military,新聞,美國將取消強化駐日美軍態勢計畫
Military,情報,美國國會兩院軍委會聯名反對川普擅改軍制
Military,提問,除了林口頂福還有其他一般人能去的靶場？
Military,提問,台灣真的做好備戰準備了嗎？
Military,新聞,台灣到底需要哪一款戰機？ 施孝瑋提到「
Military,新聞,光纖無人機扭轉戰局 俄軍在庫斯克大捷
Military,情報,川普:與俄交好可導致中俄疏離
Military,情報,歐盟軍援400億計畫遭阻饒 剩下50億
Military,新聞,白宮情報來源顯示烏克蘭軍隊在庫斯克未被包圍過
Military,情報,下一輪烏俄停火談判將討論技術層面
Military,情報,白宮表示礦產協議已是過去 重點關注停火
Military,分享,國軍f-16掛載an/ale-50 拖曳誘餌系統
Military,情報,歐盟推動軍援烏克蘭額外400億歐元困難
Military,情報,川普對伊朗發出通牒，限期兩個月內談判
Military,情報,川普稱烏克蘭發電廠送美國就不會被打
Military,情報,俄國聲稱美俄總統通話後已停止空襲
Military,情報,川普承諾提供更多防空系統給烏克蘭
Military,情報,澤倫斯基澄清川普描述的僅限紮州核電廠
Military,,美國陸軍特種作戰司令部2025年度戰力展示預告片
Military,分享,專家討論烏克蘭戰場上的無人機運用
Military,分享,美軍戰機成功以雷射導引火箭擊落無人機
Military,情報,烏軍fpv大規模襲擊克里米亞防空雷達
Military,情報,夠了！胡賽，這根本不算是一場戰鬥
Military,情報,歐盟將美英土耳其排除重整軍備基金之外
Military,情報,德國批准向烏克蘭額外提供30億歐元援助
Military,情報,歐洲想吸引被川普裁掉的美國科學家
Military,分享,烏克蘭新兵訓練改革
Military,情報,恩格斯空軍基地冒出蘑菇雲
Military,新聞,共軍軍演若達一定強度 國軍將實施備戰
Military,新聞,國安危機！國防大學教授葛明德涉私開公司
Military,新聞,美國抓獲向韓國洩密核反應堆設計之人員
Military,情報,網路上流傳的gdls台灣m41升級方案
Military,情報,普丁拒絕無條件停火 願暫停打擊能源設施
Military,情報,司機預期普丁將發動大規模攻勢
Military,情報,烏克蘭將制定一份「不得攻擊設施」清單
Military,新聞,全球最強軍用無人機在：烏克蘭！產能比
Military,新聞,快訊／賴清德宣布「恢復軍事審判」　軍法
Military,情報,小川普、卡爾森與司機競爭對手秘密談判
Military,情報,庫斯克行動（20250319）
Military,情報,烏俄戰爭-isw 普丁迫使川普讓步
Military,情報,烏俄戰爭-戰線情報（20250319）
Military,情報,烏俄戰爭-俄國同意暫停攻擊能源設施30天
Military,情報,英國特種部隊待命，可能被派往烏克蘭
Military,分享,烏克蘭情報局長從戰爭中得到的三點教訓
Military,情報,美國考慮放棄北約歐洲盟軍最高司令部職責
Military,情報,2025 年春季烏克蘭戰術局勢分析
Military,情報,歐盟和英國試圖加快運送武器速度
Military,分享,川普：剛剛與與司機進行非常好的通話
Military,情報,"澤連司基:等川普來電,願意能源設施停火"
Military,情報,胡塞武裝不會在美國或伊朗呼籲下「停火」
Military,情報,胡賽武裝重啟對以色列發射飛彈
Military,情報,烏軍攻擊俄國別爾哥羅德州
Military,情報,普丁適度讓步 川普稱烏克蘭和平有進展
Military,情報,51.7%國人不相信美國會在中國入侵時派兵
Military,分享,以色列對加薩空襲可能已造成400多人死亡
Military,情報,五角大廈對 dei 影像內容展開大清洗
Military,情報,美軍持續空襲葉門 胡賽宣稱擊退航母
Military,情報,美國宣布在3月23日進行新一輪談判
Military,情報,烏軍官方殲敵統計&情報數則 (25/3/19)
Military,情報,歐盟永遠不會承認俄非法吞併領土
Military,新聞,美國務院重批共軍在台海戰備警巡不負責
Military,情報,美國希望歐洲協助解除對俄制裁
Military,分享,中科院巡飛彈正式命名「勁蜂一型」無人機
Military,新聞,國軍加薪要來了！顧立雄曝
Military,分享,分析：川普與普丁討論烏克蘭將失去什麼
Military,情報,美國兩黨與獨立人士對政府的烏克蘭政策分歧加重
Military,情報,德國聯邦議會批准解除軍費上限修憲案
Military,情報,前官員：川普被普丁當面嘲弄而沒有察覺
hatepolitics,討論,藍白再全面否決大法官會怎樣？
hatepolitics,新聞,柯文哲延押庭曝血尿！昨半夜痛醒 陳佩琪
hatepolitics,新聞,總統府公布大法官提名名單
hatepolitics,討論,墨西哥毒梟 vs 台中市
hatepolitics,討論,推動「吃健康食物促進身體健康公投」
hatepolitics,黑特,柯文哲真的是見小利而忘命
hatepolitics,新聞,比利時國會通過挺台決議 譴責中國密集軍
hatepolitics,討論,國民黨反戒嚴公投主文出來了
hatepolitics,討論,國民黨的二個公投主文
hatepolitics,討論,綠粉覺得中國打過來 能撐多久?
hatepolitics,討論,最近怎麼郭董新聞開始浮出來了
hatepolitics,轉錄,黃暐瀚fb 暴力威脅，不是民主
hatepolitics,黑特,事情嚴重性跟藍白為何這麼做
hatepolitics,討論,去年總預算和今年總預算結構差在哪裡?
hatepolitics,討論,文哲要怎麼渡過剩下28年牢獄
hatepolitics,討論,昨天為什麼沒幾個小草去聲援？
hatepolitics,討論,政黑板友希望柯文哲牢底坐穿 不要出來？
hatepolitics,討論,中國攻台大概率先打南部
hatepolitics,討論,國民黨主文寫這樣，要投同意吧？
hatepolitics,討論,藍白把中國叫對岸，矮化台灣?
hatepolitics,黑特,震撼！太離譜了！立法院已嚴重遭受滲透！
hatepolitics,討論,2024各年齡層投票率
hatepolitics,討論,現在還相信，力挺林俊言的是什麼人?
hatepolitics,討論,小平叔要不要去告發 黃呂??
hatepolitics,新聞,仇恨值共享？罷不到外縣市藍委 新北市民
hatepolitics,討論,凌虐不會造成傷害 要怎麼洗白??
hatepolitics,討論,謝謝民進黨，讓排骨飯又要漲價了
hatepolitics,討論,如果賴神轉彎改用核電要怎護航？
hatepolitics,新聞,柯文哲開庭金句!教訓檢方「會通靈」:被關7
hatepolitics,討論,吳宗憲：大法官侵害立法權
hatepolitics,討論,小草想取暖結果凍死同溫層
hatepolitics,討論,台電為什麼會虧損那麼多，錢都跑去哪？
hatepolitics,討論,謝謝民進黨讓電費漲
hatepolitics,討論,國民黨反戒嚴公投主文－法盲寫的。
hatepolitics,新聞,廖偉翔欲爭取經費改善校園人行空間　劉世
hatepolitics,新聞,罷免綠委王美惠1階提議補件今最後期限
hatepolitics,討論,柯文哲應該穩了
hatepolitics,討論,只要是黨就無條件支持？
hatepolitics,新聞,罷免王鴻薇超猛！2階開跑8天連署破萬 現
hatepolitics,新聞,北市府要求罷免連署須「申請集會遊行」
hatepolitics,新聞,顧立雄證實 海鯤號預算一毛未刪
hatepolitics,討論,台灣政壇假學歷的鼻祖
hatepolitics,討論,阿北被民進黨嚇到杯弓蛇影草木皆兵
hatepolitics,討論,唉... 四月電價可能漲8%
hatepolitics,討論,為何pg、何瑞英笑得這麼開心？
hatepolitics,討論,比起八炯 我更喜歡四叉貓
hatepolitics,討論,大逆轉！黃國昌震撼宣布！全場熱血沸騰！
hatepolitics,討論,請大家看電視，少看youtube
hatepolitics,黑特,花蓮議員突襲檢查花蓮縣政府台北聯絡處
hatepolitics,新聞,柯文哲淚灑法庭 斥檢方不要臉
hatepolitics,討論,小草的平行世界之電子腳鐐
hatepolitics,新聞,柯文哲紙條下令「橘子」出國？　律師曝她
hatepolitics,討論,柯文哲是第一個上法庭這麼嗆的？
